"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2019,271,237,34,0,0,0,0,80,52,37,0,0,220,0,51,0
"Alabama","Clay",2019,107,97,10,0,0,0,0,67,50,30,0,0,0,0,107,0
"Alabama","Colbert",2019,263,252,11,0,0,0,0,61,47,37,0,0,228,0,35,0
"Alabama","DeKalb",2019,361,324,37,0,0,0,0,90,51,39,0,0,331,0,30,0
"Alabama","Elmore",2019,228,208,20,0,0,0,0,100,50,39,0,0,228,0,0,0
"Alabama","Etowah",2019,279,232,47,0,0,0,0,90,58,43,0,0,218,0,61,0
"Alabama","Houston",2019,280,256,24,0,0,0,0,77,50,35,0,0,208,0,72,0
"Alabama","Jefferson",2019,365,157,195,13,0,0,0,150,79,53,0,2,122,4,236,1
"Alabama","Lawrence",2019,51,50,1,0,0,0,0,53,35,22,0,0,0,0,51,0
"Alabama","Madison",2019,361,255,106,0,0,0,0,93,58,44,0,0,155,0,199,7
"Alabama","Mobile",2019,364,258,106,0,0,0,0,80,60,42,0,0,105,16,243,0
"Alabama","Montgomery",2019,365,171,193,1,0,0,0,122,67,52,0,0,50,0,314,1
"Alabama","Morgan",2019,365,306,59,0,0,0,0,93,54,41,0,0,195,0,170,0
"Alabama","Russell",2019,363,268,95,0,0,0,0,84,59,40,0,0,116,0,247,0
"Alabama","Shelby",2019,359,308,44,7,0,0,0,119,58,34,0,0,232,127,0,0
"Alabama","Sumter",2019,361,335,26,0,0,0,0,64,48,32,0,0,183,10,168,0
"Alabama","Tuscaloosa",2019,264,240,24,0,0,0,0,87,50,35,0,0,188,0,76,0
"Alaska","Aleutians East ",2019,60,60,0,0,0,0,0,47,22,11,0,0,0,0,60,0
"Alaska","Anchorage ",2019,365,289,67,5,4,0,0,160,63,27,8,0,0,0,252,105
"Alaska","Bethel ",2019,317,304,11,1,1,0,0,176,31,10,0,0,0,0,186,131
"Alaska","Denali ",2019,359,357,2,0,0,0,0,72,44,35,0,0,356,0,3,0
"Alaska","Fairbanks North Star ",2019,365,230,96,18,16,1,4,377,103,38,0,13,130,1,215,6
"Alaska","Juneau ",2019,362,308,51,3,0,0,0,145,55,20,0,0,0,0,335,27
"Alaska","Kenai Peninsula ",2019,60,59,1,0,0,0,0,55,17,7,0,0,0,0,60,0
"Alaska","Matanuska-Susitna ",2019,360,296,62,2,0,0,0,116,62,19,0,0,0,0,289,71
"Alaska","North Slope ",2019,51,51,0,0,0,0,0,43,11,5,0,0,0,0,51,0
"Arizona","Apache",2019,359,358,1,0,0,0,0,59,20,10,0,0,0,0,27,332
"Arizona","Cochise",2019,365,266,99,0,0,0,0,97,64,45,0,0,327,0,13,25
"Arizona","Coconino",2019,365,293,72,0,0,0,0,80,58,45,0,0,362,0,3,0
